Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
(Z)-9-Dodecenyl Acetate,as such,(Z)-9-Dodecenyl Acetate,16974-11-1,241-054-7,,CC/C=C/CCCCCCCCOC(=O)C
(Z)-9-Dodecenyl Acetate and Dodecan-1-yl Acetate,part of,(Z)-9-Dodecenyl Acetate,16974-11-1,241-054-7,,CC/C=C/CCCCCCCCOC(=O)C
(Z)-9-Dodecenyl Acetate and Dodecan-1-yl Acetate,part of,Dodecyl acetate,112-66-3,203-995-1,C14H28O2,O=C(C)OCCCCCCCCCCCC
(Z)-9-Hexadecenal,as such,(Z)-9-Hexadecenal,56219-04-6,260-064-2,C16H30O,CCCCCC/C=C\CCCCCCCC=O
(Z)-9-Tetradecenyl Acetate,as such,(Z)-9-Tetradecenyl Acetate,16725-53-4,240-780-1,C16H30O2,CCCC/C=C\CCCCCCCCOC(=O)C
"(Z)-9-hexadecenal, (Z)-11-hexadecenal and (Z)-13-octadecenal mixture",part of,(Z)-11-Hexadecenal,53939-28-9,258-876-7,C16H30O,CCCC/C=C\CCCCCCCCCC=O
"(Z)-9-hexadecenal, (Z)-11-hexadecenal and (Z)-13-octadecenal mixture",part of,(Z)-13-Octadecenal,58594-45-9,261-349-4,C18H34O,CCCC/C=C\CCCCCCCCCCCC=O
"(Z)-9-hexadecenal, (Z)-11-hexadecenal and (Z)-13-octadecenal mixture",part of,(Z)-9-Hexadecenal,56219-04-6,260-064-2,C16H30O,CCCCCC/C=C\CCCCCCCC=O
(Z)-Cycloheptadec-9-en-1-one,as such,(Z)-Cycloheptadec-9-en-1-one,542-46-1,208-813-4,C17H30O,C1CCC/C=C\CCCCCCCC(=O)CCC1
(Z)-Hept-4-enal,as such,(Z)-Hept-4-enal,6728-31-0,229-779-7,,CC\C=C/CCC=O
(Z)-Hex-3-enyl salicylate,as such,(Z)-Hex-3-enyl salicylate,65405-77-8,265-745-8,C13H16O3,O=C(OCC/C=C\CC)c1ccccc1O
(Z)-Nerol,as such,(Z)-Nerol,106-25-2,203-378-7,,OC\C=C(C)/CC/C=C(C)/C
(Z)-Non-6-en-1-ol,as such,(Z)-Non-6-en-1-ol,35854-86-5,252-764-1,C9H18O,CC/C=C\CCCCCO
"(Z,Z)-Nona-3,6-dien-1-ol",as such,"(Z,Z)-Nona-3,6-dien-1-ol",76649-25-7,278-518-3,C9H16O,CCC=CCC=CCCO
(l)-Alpha-bisabolol,as such,(l)-Alpha-bisabolol,515-69-5,208-205-9,C15H26O,CC1=CCC(CC1)C(C)(CCC=C(C)C)O
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",monomer,Butadiene,106-99-0,271-039-0,C4H6,
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",monomer,Ethyl acrylate,140-88-5,205-438-8,C5H8O2,CCOC(=O)C=C
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",monomer,Methacrylic acid,79-41-4,201-204-4,C4H6O2,
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",monomer,Methyl methacrylate,80-62-6,201-297-1,C5H8O2,CC(=C)C(=O)OC
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",monomer,n-Butyl acrylate,141-32-2,,C7H12O2,CCCCOC(=O)C=C
(tetrahydrofuryl)methyl phenylacetate,as such,(tetrahydrofuryl)methyl phenylacetate,5421-00-1,226-534-6,C13H16O3,O=C(Cc1ccccc1)OCC2CCCO2
({2-[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino]-2-oxoethyl}sulfinyl) acetic acid,as such,({2-[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino]-2-oxoethyl}sulfinyl) acetic acid,,,C17H25NO5S,O=C(O)CS(=O)CC(=O)N(COC(C)C)c1c(C)cccc1CC
({2-[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino]-2-oxoethyl}sulfinyl) acetic acid,metabolite,Propisochlor,86763-47-5,,C15H22ClNO2,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CCl)C
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,as such,({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,,,C15H21NO5S,O=C(O)CS(=O)CC(=O)N(COCC)c1c(C)cccc1C
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,metabolite,Acetochlor,34256-82-1,251-899-3,C14H20ClNO2,ClCC(=O)N(COCC)c1c(C)cccc1CC
"1(5),11-Guaiadiene",as such,"1(5),11-Guaiadiene",3691-12-1,,C15H24,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(=C)C
"1(5),7(11)-Guaiadiene",as such,"1(5),7(11)-Guaiadiene",88-84-6,201-860-1,C15H24,C[C@H]1CCC(=C(C)C)CC2=C1CC[C@@H]2C
"1,1'-(tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bisethanone",as such,"1,1'-(tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bisethanone",18114-49-3,,C12H18O6,CC(=O)C1(CC2(C(O1)(OC(O2)(C)C(=O)C)C)O)C
"1,1'-Ethylidene-bis-L-tryptophan",as such,"1,1'-Ethylidene-bis-L-tryptophan",132685-02-0,,C24H26N4O4,n1(cc(C[C@H](N)C(O)=O)c2c1cccc2)C(n1c2c(c(c1)C[C@H](N)C(=O)O)cccc2)C
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",as such,"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",50-29-3,200-024-3,C14H9Cl5,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
"1,1,3,3-Tetramethylthiourea",as such,"1,1,3,3-Tetramethylthiourea",2782-91-4,220-488-0,C5H12N2S,CN(C)C(=S)N(C)C
"1,1,3,3-Tetramethylthiourea",metabolite,Thiram,137-26-8,205-286-2,C6H12N2S4,CN(C)C(=S)SSC(=S)N(C)C
"1,1,3-Triethoxypropane",as such,"1,1,3-Triethoxypropane",7789-92-6,232-193-4,C9H20O3,CCOCCC(OCC)OCC
"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",as such,"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",508-32-7,208-083-7,C10H16,CC1(C)C2CC3C(C2)C13C
"1,1-Di-(2-methylbutoxy)ethane",as such,"1,1-Di-(2-methylbutoxy)ethane",13535-43-8,,C12H26O2,CCC(C)COC(C)OCC(C)CC
"1,1-Di-isobutoxy-2-methylpropane",as such,"1,1-Di-isobutoxy-2-methylpropane",13262-24-3,,C12H26O2,CC(C)COC(C(C)C)OCC(C)C
"1,1-Di-isobutoxy-2-phenylethane",as such,"1,1-Di-isobutoxy-2-phenylethane",68345-22-2,269-851-5,C16H26O2,CC(C)COC(Cc1ccccc1)OCC(C)C
"1,1-Di-isobutoxy-3-methylbutane",as such,"1,1-Di-isobutoxy-3-methylbutane",13439-98-0,236-577-2,C13H28O2,CC(C)COC(CC(C)C)OCC(C)C
"1,1-Di-isobutoxyethane",as such,"1,1-Di-isobutoxyethane",5669-09-0,227-129-7,C10H22O2,CC(C)COC(C)OCC(C)C
"1,1-Di-isobutoxypentane",as such,"1,1-Di-isobutoxypentane",13262-27-6,,C13H28O2,CCCCC(OCC(C)C)OCC(C)C
"1,1-Di-isobutoxypropane",as such,"1,1-Di-isobutoxypropane",13002-11-4,,C11H24O2,CCC(OCC(C)C)OCC(C)C
"1,1-Di-isopentyloxyethane",as such,"1,1-Di-isopentyloxyethane",13002-09-0,235-839-3,C12H26O2,CC(C)CCOC(C)OCCC(C)C
"1,1-Dichloro-2,2-bis(p-chlorophenyl) ethylene",as such,"1,1-Dichloro-2,2-bis(p-chlorophenyl) ethylene",72-55-9,200-784-6,C14H8Cl4,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
"1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane",as such,"1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane",72-54-8,200-783-0,C14H10Cl4,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
"1,1-Dichloro-2-(o-chlorophenyl)- 2-(p-chlorophenyl)ethane",as such,"1,1-Dichloro-2-(o-chlorophenyl)- 2-(p-chlorophenyl)ethane",53-19-0,200-166-6,C14H10Cl4,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
"1,1-Diethoxy-2-methylbutane",as such,"1,1-Diethoxy-2-methylbutane",3658-94-4,,C9H20O2,CCOC(OCC)C(C)CC
"1,1-Diethoxy-2-methylpropane",as such,"1,1-Diethoxy-2-methylpropane",1741-41-9,217-107-5,C8H18O2,CCOC(OCC)C(C)C
"1,1-Diethoxy-3,7-dimethyloct-6-ene",as such,"1,1-Diethoxy-3,7-dimethyloct-6-ene",71662-17-4,275-782-1,C14H28O2,CCOC(CC(C)CCC=C(C)C)OCC
"1,1-Diethoxy-3-methylbutane",as such,"1,1-Diethoxy-3-methylbutane",3842-03-3,223-335-6,C9H20O2,CCOC(CC(C)C)OCC
"1,1-Diethoxybutane",as such,"1,1-Diethoxybutane",3658-95-5,222-913-5,C8H18O2,CCCC(OCC)OCC
"1,1-Diethoxydodecane",as such,"1,1-Diethoxydodecane",53405-98-4,258-541-5,C16H34O2,CCCCCCCCCCCC(OCC)OCC
"1,1-Diethoxyethane",as such,"1,1-Diethoxyethane",105-57-7,203-310-6,C6H14O2,CCOC(C)OCC
"1,1-Diethoxyhept-4-ene (cis and trans)",as such,"1,1-Diethoxyhept-4-ene (cis and trans)",18492-65-4,242-376-0,C11H22O2,CCOC(CC\C=C/CC)OCC
"1,1-Diethoxyhex-2-ene",as such,"1,1-Diethoxyhex-2-ene",54306-00-2,259-086-5,C10H20O2,CCCC=CC(OCC)OCC
"1,1-Diethoxyhex-3-ene",as such,"1,1-Diethoxyhex-3-ene",73545-18-3,277-532-7,C10H20O2,CCOC(C\C=C/CC)OCC
"1,1-Diethoxynona-2,6-diene",as such,"1,1-Diethoxynona-2,6-diene",67674-36-6,266-874-2,C13H24O2,CCOC(OCC)/C=C/CC\C=C/CC
"1,1-Diethoxynonane",as such,"1,1-Diethoxynonane",54815-13-3,259-360-4,C13H28O2,CCCCCCCCC(OCC)OCC
"1,1-Diethoxyoctane",as such,"1,1-Diethoxyoctane",54889-48-4,259-385-0,C12H26O2,CCCCCCCC(OCC)OCC
"1,1-Diethoxypentane",as such,"1,1-Diethoxypentane",3658-79-5,222-909-3,C9H20O2,CCCCC(OCC)OCC
"1,1-Diethoxypropane",as such,"1,1-Diethoxypropane",4744-08-5,225-257-8,C7H16O2,CCOC(CC)OCC
"1,1-Diethoxyundecane",as such,"1,1-Diethoxyundecane",53405-97-3,258-539-4,C15H32O2,CCCCCCCCCCC(OCC)OCC
"1,1-Dihexyloxyethane",as such,"1,1-Dihexyloxyethane",5405-58-3,226-458-3,C14H30O2,CCCCCCOC(C)OCCCCCC
"1,1-Dimethoxy-2-phenylethane",as such,"1,1-Dimethoxy-2-phenylethane",101-48-4,202-945-6,C10H14O2,COC(CC1=CC=CC=C1)OC
"1,1-Dimethoxy-2-phenylpropane",as such,"1,1-Dimethoxy-2-phenylpropane",90-87-9,202-022-8,C11H16O2,COC(OC)C(C)C1=CC=CC=C1
"1,1-Dimethoxydecane",as such,"1,1-Dimethoxydecane",7779-41-1,231-928-6,C12H26O2,CCCCCCCCCC(OC)OC
"1,1-Dimethoxyethane",as such,"1,1-Dimethoxyethane",534-15-6,208-589-8,C4H10O2,CC(OC)OC
"1,1-Dimethoxyheptane",as such,"1,1-Dimethoxyheptane",10032-05-0,233-103-6,C9H20O2,CCCCCCC(OC)OC
"1,1-Dimethoxyhex-2(trans)-ene",as such,"1,1-Dimethoxyhex-2(trans)-ene",18318-83-7,242-204-4,C8H16O2,CCC\C=C\C(OC)OC
"1,1-Dimethoxyhexane",as such,"1,1-Dimethoxyhexane",1599-47-9,216-488-5,C8H18O2,CCCCCC(OC)OC
"1,1-Dimethoxyoctane",as such,"1,1-Dimethoxyoctane",10022-28-3,233-018-4,C10H22O2,CCCCCCCC(OC)OC
"1,1-Dimethoxypentane",as such,"1,1-Dimethoxypentane",26450-58-8,247-716-1,C7H16O2,CCCCC(OC)OC
"1,1-Dimethoxypropane",as such,"1,1-Dimethoxypropane",4744-10-9,225-258-3,C5H12O2,CCC(OC)OC
"1,1-Dimethyl-2-phenethyl acetate",as such,"1,1-Dimethyl-2-phenethyl acetate",151-05-3,205-781-3,C12H16O2,O=C(C)OC(C)(C)CC1=CC=CC=C1
"1,1-Dimethyl-2-phenethyl butyrate",as such,"1,1-Dimethyl-2-phenethyl butyrate",10094-34-5,233-221-8,C14H20O2,O=C(OC(C)(C)CC1=CC=CC=C1)CCC
"1,1-Dimethyl-3-phenylpropyl acetate",as such,"1,1-Dimethyl-3-phenylpropyl acetate",103-07-1,203-077-0,C13H18O2,CC(=O)OC(C)(C)CCc1ccccc1
"1,1-Dimethyl-3-phenylpropyl isobutyrate",as such,"1,1-Dimethyl-3-phenylpropyl isobutyrate",10031-71-7,233-092-8,C15H22O2,CC(C)C(=O)OC(C)(C)CCc1ccccc1
"1,1-Dimethylethyl propionate",as such,"1,1-Dimethylethyl propionate",20487-40-5,,C7H14O2,CCC(=O)OC(C)(C)C
"1,1-Dipentyloxyethane",as such,"1,1-Dipentyloxyethane",13002-08-9,235-838-8,C12H26O2,CCCCCOC(C)OCCCCC
"1,1-Diphenethoxyethane",as such,"1,1-Diphenethoxyethane",122-71-4,204-568-2,C18H22O2,CC(OCCC1=CC=CC=C1)OCCC2=CC=CC=C2
"1,1-Propanedithiol",as such,"1,1-Propanedithiol",88497-17-0,,C3H8S2,CCC(S)S
"1,1-bis(Ethylthio)-ethane",as such,"1,1-bis(Ethylthio)-ethane",14252-42-7,,C6H14S2,CCSC(C)SCC
"1,10-Decanediamine",as such,"1,10-Decanediamine",646-25-3,211-471-9,C10H24N2,C(CCCCCN)CCCCN
"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethylnaphthalen-2-ol",as such,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethylnaphthalen-2-ol",41199-19-3,255-256-8,C13H22O,CC1(O)CCC2C(=CCCC2(C)C)C1
"1,2,3,4,6,7,8,9-OCDD",as such,"1,2,3,4,6,7,8,9-OCDD",3268-87-9,,C12Cl8O2,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
"1,2,3,4,6,7,8,9-OCDF",as such,"1,2,3,4,6,7,8,9-OCDF",39001-02-0,,C12Cl8O,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C2C(=C(C(=C3Cl)Cl)Cl)Cl
"1,2,3,4,6,7,8-HpCDD",as such,"1,2,3,4,6,7,8-HpCDD",35822-46-9,,C12HCl7O2,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
"1,2,3,4,6,7,8-HpCDF",as such,"1,2,3,4,6,7,8-HpCDF",67562-39-4,,C12HCl7O,C1=C2C3=C(C(=C(C(=C3Cl)Cl)Cl)Cl)OC2=C(C(=C1Cl)Cl)Cl
"1,2,3,4,7,8,9-HpCDF",as such,"1,2,3,4,7,8,9-HpCDF",55673-89-7,,C12HCl7O,C1=C2C(=C(C(=C1Cl)Cl)Cl)C3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
"1,2,3,4,7,8-HxCDD",as such,"1,2,3,4,7,8-HxCDD",39227-28-6,,,C1=C2C(=CC(=C1Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
"1,2,3,4,7,8-HxCDF",as such,"1,2,3,4,7,8-HxCDF",70648-26-9,,C12H2Cl6O,C1=C2C(=CC(=C1Cl)Cl)OC3=C2C(=C(C(=C3Cl)Cl)Cl)Cl
"1,2,3,4-Tetrahydro-1,1,6-trimethylnaphthalene",as such,"1,2,3,4-Tetrahydro-1,1,6-trimethylnaphthalene",475-03-6,207-490-7,C13H18,Cc1ccc2c(CCCC2(C)C)c1
"1,2,3,4-Tetrahydro-6-methylquinoline",as such,"1,2,3,4-Tetrahydro-6-methylquinoline",91-61-2,202-083-0,C10H13N,CC2=CC1=C(C=C2)NCCC1
"1,2,3,4-Tetrahydronaphthalene-2,6-dicarboxylic acid, dimethyl ester",as such,"1,2,3,4-Tetrahydronaphthalene-2,6-dicarboxylic acid, dimethyl ester",23985-75-3,,C14H16O4,COC(=O)C1CCC2=C(C1)C=CC(=C2)C(=O)OC
"1,2,3,6,7,8-HxCDD",as such,"1,2,3,6,7,8-HxCDD",57653-85-7,,C12H2Cl6O2,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=CC(=C(C(=C3O2)Cl)Cl)Cl
"1,2,3,6,7,8-HxCDF",as such,"1,2,3,6,7,8-HxCDF",57117-44-9,,C12H2Cl6O,C1=C2C3=C(C(=C(C=C3OC2=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
"1,2,3,7,8,9-HxCDD",as such,"1,2,3,7,8,9-HxCDD",19408-74-3,,C12H2Cl6O2,c1c2c(c(c(c1Cl)Cl)Cl)Oc3c(cc(c(c3Cl)Cl)Cl)O2
"1,2,3,7,8,9-HxCDF",as such,"1,2,3,7,8,9-HxCDF",72918-21-9,,C12H2Cl6O,C1=C2C(=C(C(=C1Cl)Cl)Cl)C3=C(C(=C(C=C3O2)Cl)Cl)Cl
"1,2,3,7,8-PeCDD",as such,"1,2,3,7,8-PeCDD",40321-76-4,,C12H3Cl5O2,C1=C2C(=CC(=C1Cl)Cl)OC3=C(C(=C(C=C3O2)Cl)Cl)Cl
"1,2,3,7,8-PeCDF",as such,"1,2,3,7,8-PeCDF",57117-41-6,,C12H3Cl5O,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C(=C23)Cl)Cl)Cl
"1,2,3-Trimethoxybenzene",as such,"1,2,3-Trimethoxybenzene",634-36-6,211-207-2,C9H12O3,COc1cccc(OC)c1OC
"1,2,3-Tris([1'-ethoxy]-ethoxy)propane",as such,"1,2,3-Tris([1'-ethoxy]-ethoxy)propane",67715-82-6,,,CCOC(C)OCC(COC(C)OCC)OC(C)OCC
"1,2,4,5-Tetrathiane",as such,"1,2,4,5-Tetrathiane",291-22-5,,C2H4S4,C1SSCSS1
"1,2,4-Triazole",as such,"1,2,4-Triazole",288-88-0,206-022-9,C2H3N3,C1=NC=NN1
"1,2,4-Triazole",metabolite,Amitrole,61-82-5,200-521-5,C2H4N4,C1=NNC(=N1)N
"1,2,4-Trithiolane",as such,"1,2,4-Trithiolane",289-16-7,,C2H4S3,C1SCSS1
"1,2,5,6-Tetrahydrocuminic acid",as such,"1,2,5,6-Tetrahydrocuminic acid",71298-42-5,,C10H16O2,CC(C)C1=CCC(CC1)C(=O)O
"1,2-Benzisothiazol-3(2H)-one 1,1-dioxide sodium salt",as such,"1,2-Benzisothiazol-3(2H)-one 1,1-dioxide sodium salt",128-44-9,204-886-1,C7H4NNaO3S,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]
"1,2-Benzisothiazolin-3-one",as such,"1,2-Benzisothiazolin-3-one",2634-33-5,220-120-9,C7H5NOS,C1=CC=C2C(=C1)C(=O)NS2
"1,2-Bis(triethoxysilyl)ethane",as such,"1,2-Bis(triethoxysilyl)ethane",16068-37-4,240-212-2,C14H34O6Si2,CCO[Si](CC[Si](OCC)(OCC)OCC)(OCC)OCC
"1,2-Cyclohexanedicarboxylic acid, diisononyl ester",as such,"1,2-Cyclohexanedicarboxylic acid, diisononyl ester",166412-78-8,,C26H46O4-2,CC(C)CCCCCCC1(CCCCC1(CCCCCCC(C)C)C(=O)[O-])C(=O)[O-]
"1,2-Di((1'-ethoxy)-ethoxy)propane",as such,"1,2-Di((1'-ethoxy)-ethoxy)propane",67715-79-1,266-979-3,C11H24O4,CCOC(C)OCC(C)OC(C)OCC
"1,2-Dihydro-1,1,6-trimethylnaphthalene",as such,"1,2-Dihydro-1,1,6-trimethylnaphthalene",30364-38-6,250-150-8,C13H16,Cc1ccc2c(C=CCC2(C)C)c1
"1,2-Dihydrolinalool",as such,"1,2-Dihydrolinalool",2270-57-7,,C10H20O,CCC(C)(CCC=C(C)C)O
"1,2-Dimethoxy-4-(prop-1-enyl)-benzene",as such,"1,2-Dimethoxy-4-(prop-1-enyl)-benzene",93-16-3,228-958-7,C11H14O2,CC=CC1=CC(=C(C=C1)OC)OC
"1,2-Dimethoxy-4-vinylbenzene",as such,"1,2-Dimethoxy-4-vinylbenzene",6380-23-0,228-962-9,C10H12O2,COc1ccc(C=C)cc1OC
"1,2-Dimethoxybenzene",as such,"1,2-Dimethoxybenzene",91-16-7,202-045-3,C8H10O2,COC1=CC=CC=C1OC
"1,2-dichloroethane",as such,"1,2-dichloroethane",107-06-2,203-458-1,C2H4Cl2,ClCCCl
"1,3 Propylene glycol",as such,"1,3 Propylene glycol",504-63-2,207-997-3,C3H8O2,C(CO)CO
"1,3,5-Trioxane",as such,"1,3,5-Trioxane",110-88-3,203-812-5,C3H6O3,C1OCOCO1
"1,3,5-Tris(2,2-dimethylpropanamido)benzene",as such,"1,3,5-Tris(2,2-dimethylpropanamido)benzene",745070-61-5,,C21H33N3O3,CC(C)(C)C(=O)NC1=CC(=CC(=C1)NC(=O)C(C)(C)C)NC(=O)C(C)(C)C
"1,3,5-Tris(4-benzoylphenyl) benzene",as such,"1,3,5-Tris(4-benzoylphenyl) benzene",227099-60-7,,C45H30O3,O=C(c1ccccc1)c2ccc(cc2)c3cc(cc(c3)c4ccc(cc4)C(=O)c5ccccc5)c6ccc(cc6)C(=O)c7ccccc7
"1,3- bis(isocyanatomethyl)benzene",as such,"1,3- Bis(isocyanatomethyl)benzene",3634-83-1,222-852-4,C10H8N2O2,C1=CC(=CC(=C1)CN=C=O)CN=C=O
"1,3-Benzenedimethanamine",as such,"1,3-Benzenedimethanamine",1477-55-0,216-032-5,C8H12N2,C1=CC(=CC(=C1)CN)CN
"1,3-Dichloropropene",as such,"1,3-dichloropropene",542-75-6,208-826-5,C3H4Cl2,ClCC=CCl
"1,3-Dicyclohexylurea",as such,"1,3-Dicyclohexylurea",2387-23-7,219-213-7,C13H24N2O,C1CCC(CC1)NC(=O)NC2CCCCC2
"1,3-Dimethoxy-benzene",as such,"1,3-Dimethoxy-benzene",151-10-0,205-783-4,C8H10O2,COC1=CC(=CC=C1)OC
"1,3-Dimethyl-4-methoxybenzene",as such,"1,3-Dimethyl-4-methoxybenzene",6738-23-4,229-794-9,C9H12O,COc1ccc(C)cc1C
"1,3-Dioxolane",as such,"1,3-Dioxolane",646-06-0,211-463-5,C3H6O2,C1COCO1
"1,3-Diphenylpropan-2-one",as such,"1,3-Diphenylpropan-2-one",102-04-5,203-000-0,C15H14O,O=C(Cc1ccccc1)Cc2ccccc2
"1,4(8),12-Bisabolatriene",as such,"1,4(8),12-Bisabolatriene",495-62-5,207-805-8,C15H24,CC(=CCCC(=C1CCC(=CC1)C)C)C
"1,4-Bis(hydroxymethyl)cyclohexane",as such,"1,4-Bis(hydroxymethyl)cyclohexane",105-08-8,203-268-9,C8H16O2,C1CC(CCC1CO)CO
"1,4-Butanediol",as such,"1,4-Butanediol",110-63-4,203-786-5,C4H10O2,C(CCO)CO
"1,4-Cineole",as such,"1,4-Cineole",470-67-7,207-428-9,C10H18O,CC(C)C12CCC(C)(CC1)O2
"1,4-Cyclohexanedicarboxylic acid",as such,"1,4-Cyclohexanedicarboxylic acid",1076-97-7,214-068-6,C8H12O4,C1CC(CCC1C(=O)O)C(=O)O
"1,4-Diaminobutane",as such,"1,4-Diaminobutane",110-60-1,203-782-3,C4H12N2,C(CCN)CN
"1,4-Dimethoxy-benzene",as such,"1,4-Dimethoxy-benzene",150-78-7,205-771-9,C8H10O2,COC1=CC=C(C=C1)OC
"1,4-Dimethylnaphthalene",as such,"1,4-Dimethylnaphthalene",571-58-4,,,
"1,4-naphthoquinone",as such,"1,4-naphthoquinone",130-15-4,204-977-6,C10H6O2,C1=CC=C2C(=O)C=CC(=O)C2=C1
"1,4-naphthoquinone",metabolite,Dithianon,3347-22-6,222-098-6,C14H4N2O2S2,O=C1C2=C(SC(=C(S2)C#N)C#N)C(=O)c3ccccc13
"1,4:3,6-Dianhydrosorbitol",as such,"1,4:3,6-Dianhydrosorbitol",652-67-5,211-492-3,C6H10O4,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O
"1,5,5,9-Tetramethyl-13-oxatricyclo [8.3.0.0.(4.9)]tridecane",as such,"1,5,5,9-Tetramethyl-13-oxatricyclo [8.3.0.0.(4.9)]tridecane",3738-00-9,223-118-6,C16H28O,CC1(C)CCCC2(C)C1CCC3(C)OCCC23
"1,6-Hexalactam",as such,"1,6-Hexalactam",105-60-2,203-313-2,C6H11NO,O=C1CCCCCN1
"1,7-octadiene",as such,"1,7-octadiene",3710-30-3,223-054-9,C8H14,C=CCCCCC=C
"1,8-Cineole",as such,"1,8-Cineole",470-82-6,207-431-5,C10H18O,CC1(C2CCC(O1)(CC2)C)C
1- or 3-Hydroxy-5-methyl-2- or 3-hexanone (1-hydroxy-5-methyl-3-hexanone and 3-hydroxy-5-methyl-2-hexanone),as such,1- or 3-Hydroxy-5-methyl-2- or 3-hexanone (1-hydroxy-5-methyl-3-hexanone and 3-hydroxy-5-methyl-2-hexanone),,,,
1- or 3-Hydroxy-5-methyl-2- or 3-hexanone (1-hydroxy-5-methyl-3-hexanone and 3-hydroxy-5-methyl-2-hexanone),part of,1-Hydroxy-5-methylhexan-3-one,,,C7H14O2,CC(C)CC(=O)CCO
1- or 3-Hydroxy-5-methyl-2- or 3-hexanone (1-hydroxy-5-methyl-3-hexanone and 3-hydroxy-5-methyl-2-hexanone),part of,3-Hydroxy-5-methylhexan-2-one,163038-04-8,,C7H14O2,CC(C)CC(C(=O)C)O
"1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1H-1,2,4-triazol-5(4H)-one",as such,"1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1H-1,2,4-triazol-5(4H)-one",,,C14H15Cl2N3O2,O=C3NC=NN3CC(O)(Cc1ccccc1Cl)C2(Cl)CC2
"1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1H-1,2,4-triazol-5(4H)-one",metabolite,Prothioconazole,178928-70-6,605-841-2,C14H15Cl2N3OS,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C(=S)N=CN3)O)Cl
1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1Hpyrazole-5-sulfonic acid,as such,1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1Hpyrazole-5-sulfonic acid,,,C15H16Cl2N2O4S,OC(Cn1nccc1S(=O)(=O)O)(Cc2ccccc2Cl)C3(Cl)CC3
